"id","gender","age","agree1","agree2","agree3","often1","often2","open1","open2","other","multi","factor"
1,"F",51,"Disagree","Agree","Strongly Agree","Rarely","Rarely","Lorem ipsum dolor sit amet, egestas elementum aenean. Vivamus ultricies ligula taciti in volutpat eget ipsum. Aliquam phasellus sapien. Aptent mauris ut a adipiscing non. In sed potenti lectus at, viverra ut cras. In etiam sed, ut sit mollis ipsum massa! Sem porttitor himenaeos, ridiculus, platea facilisis pellentesque. Sit augue potenti ac. Mauris himenaeos eros eros nunc odio ex lectus. Ligula nisi, vel leo venenatis proin in malesuada curae vel. Id mi et vehicula.","Lorem ipsum dolor sit amet, vitae magna, pretium justo ac praesent a. Odio ut in sit fames amet amet eleifend finibus, dui urna. In at morbi id ipsum metus quis, habitasse sed. Dolor, dignissim eros massa senectus non sapien etiam maecenas eu non ipsum. Efficitur, tempus faucibus curae. Id nibh aptent sed ipsum, sagittis cum neque tristique. Enim phasellus blandit curae suscipit hac vitae, platea, neque. Congue rutrum egestas tempus etiam. Molestie, tincidunt eu, mauris efficitur per lacus nec. Accumsan semper vulputate sapien maecenas tellus aliquam vestibulum. Rhoncus curabitur sapien erat varius justo. Rhoncus adipiscing leo et sit ut lorem leo, laoreet ornare.","Disagree","US","opt1"
2,"F",45,"Disagree","Disagree","Strongly Disagree","Never","Never","Dignissim velit orci fringilla. Aliquet nulla nec nulla dui. Fringilla pellentesque donec ac eros, egestas porttitor cubilia ac condimentum. Aliquam, vehicula quisque amet ultrices lacus sed. Eros, dui aliquam fringilla sit hendrerit in gravida? Dui purus, iaculis posuere vitae, mi diam urna. Auctor eu odio, eu commodo urna, et sem cursus? Erat, eu cursus ac nam duis. Turpis pharetra egestas sed in nulla elementum, vitae venenatis. Amet ante ultricies, mi rutrum tincidunt. Duis suspendisse vestibulum non natoque venenatis tristique pellentesque mauris ac, malesuada aliquam. Felis integer risus faucibus non ad quis tincidunt viverra eget magnis, nisl. Metus amet, volutpat egestas rhoncus vel at amet. Orci tempor pharetra vel vestibulum est amet nisi.","Eleifend nisi quis sed, habitant enim maecenas sapien commodo integer. Justo sit sed metus, orci magna facilisis tristique nunc tincidunt malesuada, maximus. Risus in penatibus ac quam efficitur mattis sed ac sed elementum. Et mauris pretium ut eu ut urna. Rutrum, tellus lacus duis. Eros dolor nam consequat finibus nec. Varius sed, ut vel nec habitant cursus. Dictum pretium pellentesque sapien vitae sodales nisi eros, sodales ac efficitur sit. Pulvinar ac quis maecenas nec proin condimentum fames porta. Ut sollicitudin conubia lacinia duis eu, in, ad, ornare.","Strongly Agree","US","opt2"
3,"M",35,"Strongly Agree","Disagree","Disagree","Very Often","Very Often","Porta sed turpis a a non class a, finibus et pellentesque convallis. Suspendisse litora urna vitae per ipsum suspendisse. Ultricies sed tellus enim elit dolor. Pretium proin volutpat conubia fames nec, mi nibh pulvinar quis ex. Curae nec consequat per elit in nulla, tempus malesuada. Lacus vel ultrices eget, nec. Mi molestie rhoncus et efficitur accumsan placerat maecenas urna pellentesque dui. Sapien imperdiet urna finibus per tincidunt sollicitudin cum in a quisque sed. Aliquam risus molestie facilisis mauris in dapibus, a.","A est orci urna interdum velit. Dis et dapibus sed ac vitae. Sapien eros pretium at tellus. Hac egestas pellentesque ut turpis quisque. Nec ligula ante fermentum eget lorem, molestie nullam vulputate. Dictum turpis, sociis tortor in, neque mollis nunc vel. Commodo luctus, integer. Ut, cubilia vel magna senectus posuere neque arcu. In ipsum torquent est ad nam sociosqu ex accumsan amet, eu.","Agree","MEX;UK","opt5"
4,"M",22,"Strongly Disagree","Neither Agree or Disagree","Disagree","Never","Never","Gravida tristique nullam aliquam viverra nostra vel fames libero conubia tincidunt natoque. Suscipit dictumst non a varius suscipit. Gravida sociis, id odio fusce. Sem lectus maecenas, tincidunt elementum vestibulum laoreet nisi. Augue himenaeos magnis diam efficitur in egestas, efficitur. Id magna non nullam. Amet mi, sapien amet vel non, parturient laoreet tempus.","Dictum proin himenaeos risus, eget. Laoreet, consectetur accumsan facilisis vulputate maecenas tincidunt metus nam, ullamcorper in. Cum massa pharetra eleifend luctus tincidunt nunc posuere. Cubilia per, duis nec, sed vitae condimentum augue. Dolor molestie curae purus diam arcu. Magna elementum imperdiet, ac enim eget imperdiet eu. Sit sagittis ante. Nunc purus ac maecenas donec elementum.","Strongly Disagree","","opt2"
5,"F",51,"Neither Agree or Disagree","Strongly Disagree","Strongly Agree","Never","Rarely","Purus finibus eu amet. Sollicitudin sollicitudin ante sed, dolor erat auctor neque nam. Facilisis id amet mollis eleifend rutrum varius cum aliquam tempus tellus. Magnis libero ut cum, ullamcorper. Pellentesque lorem eget adipiscing risus vel. Sed ut conubia himenaeos, euismod eget ipsum sociosqu. In donec eros ipsum convallis cras non dapibus sociosqu. Cubilia in volutpat in ut sapien natoque egestas, porttitor. Sodales blandit tempus porttitor praesent ornare dictumst dictumst ut quam. Proin eget enim faucibus et sed, amet sed sem arcu. In mauris id, imperdiet risus. Natoque donec pharetra ut ligula in facilisis hac auctor inceptos faucibus. Litora et per senectus et ante.","Accumsan turpis pulvinar feugiat, conubia ligula fames, ante. Felis metus adipiscing justo magnis tempus, et. Risus enim praesent pellentesque ipsum cum sit magna. Pulvinar dignissim sit mauris morbi aliquam. In proin pellentesque nulla ut. Egestas, sed nullam sem magnis quis ornare molestie praesent sapien. Ipsum vehicula varius ac egestas risus aenean in urna felis, sagittis. Aenean sit at, erat posuere a aliquam tortor in! Et, hendrerit mi ex inceptos in. A varius eleifend litora, iaculis velit mauris. Himenaeos, sed eget eget sed, maximus ut, varius hac, porttitor ut. Et, sagittis amet ante laoreet lorem scelerisque enim.","Strongly Disagree","UK","opt1"
6,"F",43,"Disagree","Strongly Agree","Neither Agree or Disagree","Rarely","Never","Lacinia luctus torquent nulla elementum porta. Vestibulum efficitur cras tempor, dictumst. Ut egestas nisl neque a blandit vel sed? Elit nisl cursus lorem vitae turpis, ipsum porttitor. Tincidunt vel felis platea aliquet sem faucibus et sapien amet. Nec sit vel id nec metus est. Enim, nunc lacinia, proin condimentum blandit. Quam sociosqu ante erat aliquam eu quis eu leo inceptos. Nisi hendrerit vel sapien diam. Lacinia fames morbi erat faucibus. Ornare dictum sociis.","Tellus tristique libero sociosqu ut felis maecenas. Nunc rhoncus, sed vestibulum nam, ridiculus sed netus enim, tellus nisi, varius. Maecenas ut sed. Metus parturient penatibus facilisis in justo vestibulum integer per. Arcu imperdiet ante ac torquent class mauris. Platea rutrum scelerisque eu mus, etiam nullam pharetra. Sed euismod eu mi nec nec vel? Justo ac eleifend, ipsum, nibh gravida. Turpis orci ipsum varius ipsum mus. Ultrices torquent, eget elementum platea vitae lectus nisi tristique. Netus hendrerit, vestibulum dolor mi mus lacinia, ultricies.","B","CAN","opt1"
7,"F",22,"Strongly Agree","Agree","Strongly Disagree","Rarely","Rarely","Vivamus nisl pellentesque felis, ac mauris. Bibendum erat in quis lorem in est venenatis ut dictum. Et arcu in sed ut duis, ullamcorper sed ac sem. Dis consequat torquent luctus parturient est ligula quisque lorem, orci nec. Platea aenean vehicula senectus pharetra eu ut augue cras proin aptent aliquam habitasse nec velit dapibus condimentum. Eu, neque non ultricies nibh commodo tempor ac eget viverra taciti. Finibus inceptos adipiscing eros interdum volutpat libero. Amet sed nunc aenean, auctor morbi? At odio pellentesque luctus sollicitudin non non dignissim amet condimentum augue. Id id at eros faucibus donec.","Vel per hendrerit ut mauris diam at rutrum vestibulum, aenean elementum. Auctor interdum malesuada accumsan ullamcorper. A sem vestibulum, porttitor interdum eu. Nisi augue hac etiam amet sagittis mollis eu. Dapibus tristique turpis fusce egestas, vulputate. In erat platea commodo sed. Dui senectus turpis lobortis, mauris sit. Ac vitae blandit, nisl volutpat enim montes per in. Tempus libero habitasse amet dapibus adipiscing viverra phasellus non.","A","","opt2"
8,"M",24,"Strongly Disagree","Neither Agree or Disagree","Strongly Agree","Rarely","Very Often","Est in diam odio nam aliquam pretium pretium arcu lorem non. Ac laoreet, ut, sapien vivamus efficitur gravida penatibus cum semper justo taciti sit. Turpis porta inceptos curae mi, vitae, maximus lacus ac. Eget aptent aliquet ut habitasse senectus in egestas sodales quam nam ultrices urna. Vel viverra ultricies ut tincidunt nec a pharetra, augue auctor! Aenean lacinia nisi auctor sollicitudin, dictum et et odio. Fusce nunc conubia viverra a. Vel vel. Tellus eros accumsan accumsan, eleifend vivamus. Bibendum eu maecenas class a ut egestas vitae quis.","Luctus at, a lacus turpis curabitur. Netus habitasse, mi ullamcorper egestas sagittis, curae sapien. Turpis vulputate lacus ligula, mus ullamcorper felis vel efficitur ut phasellus ex. Tristique vehicula mollis amet ut justo posuere. A donec class vel nulla primis per ac magna. Ut, inceptos a nibh ex tincidunt in erat. Dolor et, in iaculis neque euismod cum porta. Dictum enim vitae felis nec quis placerat ultricies. Nisl neque venenatis et, tellus cras, in turpis. Massa turpis nulla himenaeos vitae conubia proin urna nec neque. Tristique, platea augue feugiat nunc eget leo per. Praesent fusce, arcu enim proin a nunc class vel libero arcu. Ut mi montes purus class risus sed turpis taciti.","Strongly Agree","CAN;MEX;UK","opt5"
9,"F",47,"Agree","Neither Agree or Disagree","Agree","Very Often","Often","Auctor at duis mi sit arcu nam amet. Orci vel condimentum maximus diam et blandit vel nulla himenaeos lectus in nec erat risus. Suspendisse enim et etiam ut vivamus neque. Ridiculus aliquam donec magnis parturient class molestie sit tincidunt. Pellentesque sed euismod, efficitur eget nulla. Eu tempus porta, massa id diam malesuada phasellus. Turpis, class sociis quis conubia nisl. Augue commodo dolor, sagittis semper et eros. Primis, erat, facilisi imperdiet commodo cum cras enim facilisis lectus. Dolor placerat, sed risus commodo dictumst eget.","Sed, nec at fringilla id. Interdum fringilla eget sodales non. Elit ultrices, ut arcu turpis, eu tempus diam nullam ac. Est placerat dictumst non tempus ridiculus consequat dictum netus laoreet. Sollicitudin egestas mauris aliquam vivamus hendrerit tortor quisque enim. Pharetra eget dictum class malesuada nec congue sit commodo commodo. Senectus tortor quam vivamus nibh dis. Sociis sed, duis aptent ultricies risus. Etiam ut enim cubilia ut sit vivamus suscipit tincidunt vivamus.","Disagree","CAN","opt4"
10,"F",48,"Agree","Agree","Strongly Agree","Often","Rarely","Non, auctor duis feugiat ipsum orci ante aliquam efficitur cubilia. Non erat nunc in vivamus fringilla non erat facilisi. Metus accumsan, tincidunt nisl varius nec tincidunt donec inceptos. Urna integer eget id nibh pulvinar lorem nec at nullam, ex. Litora class sed tempor donec, viverra. Sodales quam suspendisse conubia, ullamcorper. Eu, ac iaculis elit. Scelerisque nisi condimentum, donec cras, sed neque cum. Libero cras ligula. Leo, rhoncus cras habitasse. Netus est justo, nec blandit. Interdum blandit at adipiscing cursus semper dui vitae mauris per. Curae, nullam amet sed feugiat, mattis ante laoreet purus. Duis ante quam laoreet erat.","Netus varius neque duis nullam est id id. Nunc non ut quisque ac platea, non mollis. Porttitor in tortor sem pellentesque pharetra sed fusce turpis. Velit litora. Sit pretium natoque eget non vivamus augue feugiat. Commodo ac pretium eget id ut fames, at accumsan cursus a ligula in. Ac finibus dui tempor odio platea parturient parturient phasellus sit auctor cras. Congue vehicula pretium ridiculus justo maecenas magnis mattis cras aliquet nec sit himenaeos aliquam.","Disagree","CAN","opt2"
11,"F",41,"Strongly Agree","Disagree","Strongly Agree","Often","Rarely","Sed cubilia in enim ac. Suspendisse viverra nulla tellus. Imperdiet suspendisse, nascetur non dapibus congue dui ligula posuere eros. Pellentesque odio luctus sed ante sed nascetur, at? Nibh penatibus potenti porta nunc ridiculus pharetra. Cursus adipiscing tortor, sed pretium porttitor eget. Gravida, faucibus magna et vulputate fusce augue consectetur lorem. Non eros rhoncus risus et eget. Fusce sed tortor, eu ex mauris elementum in ipsum. Vel nullam maximus convallis volutpat potenti mauris non.","Elementum neque suscipit urna, vel sed, tincidunt ut, vel tortor praesent. Fusce tempor porta posuere feugiat luctus nec nunc at. Vel, maximus non sed morbi metus at. Eleifend non habitasse, nisi sagittis turpis in class pulvinar sit metus. Porta elementum tincidunt placerat mauris urna auctor mi. Posuere tristique metus adipiscing, commodo hac hendrerit enim, habitasse. Hendrerit cum a quam, ad eros sit dis vestibulum ac maecenas arcu ac ante. Donec, quis libero in elementum primis adipiscing conubia. Libero eget, et nec, efficitur, cubilia nostra sed bibendum in neque curabitur. Rhoncus sed lectus himenaeos consequat magna nibh platea libero urna in nulla.","B","US","opt3"
12,"M",57,"Strongly Disagree","Neither Agree or Disagree","Strongly Agree","Never","Often","Blandit, elit per sed aliquet venenatis aptent eu. Netus duis, nulla, arcu. Mi blandit, hendrerit ipsum sapien suspendisse. Lectus non habitasse ullamcorper ac erat adipiscing sit luctus at et. Sed tortor et, odio nunc sed venenatis nec. Pretium tempor lacinia vel. Platea vivamus dolor gravida, quisque sit aenean accumsan. Et a ac lobortis et vestibulum lobortis. Amet, ut curabitur, ex. Ipsum ut augue ipsum curabitur, in vivamus venenatis. Varius pharetra, posuere et pretium ac pulvinar nam aptent ex.","Nec viverra dui sem malesuada interdum. Amet morbi dui elementum nunc in. Eget scelerisque a. Ultrices curae, imperdiet felis rutrum malesuada curae non blandit ex velit. Porta nullam id est, augue nunc metus dictum fusce nascetur, tortor. Dui ante pharetra montes et dis pharetra lectus enim varius luctus placerat. Auctor vitae aliquam varius viverra sollicitudin sed enim sodales porta. Nec gravida taciti ut ut morbi tincidunt ac nec ac. Imperdiet id sem dictumst nec et, praesent nunc. Et at, hac amet et est est id conubia velit. Fermentum etiam, odio et faucibus aenean at sit sociis.","Disagree","US","opt1"
13,"M",57,"Neither Agree or Disagree","Disagree","Agree","Very Often","Rarely","Ullamcorper leo ut adipiscing fringilla in curabitur justo. Vehicula habitasse et elit, per facilisi eu praesent mattis. Felis non conubia nascetur pretium eget fames aenean, a risus nec. Scelerisque nisl varius quis in tincidunt. Adipiscing lacus habitant posuere euismod ultricies per parturient, convallis. Et felis iaculis eros sit donec eu ac lacinia. A libero. Ac convallis ultrices dolor magna suscipit. Habitasse tincidunt.","Ornare ac mi laoreet. Elementum a risus eu cubilia vel a id, sed. Ad dolor etiam senectus habitant. Condimentum aliquam suspendisse accumsan ipsum malesuada magna tempus tincidunt ipsum. Non sem aliquam eu nibh ullamcorper, sed nec dictum ipsum. Dui massa metus velit, est luctus vel lectus ut est ut. Ligula augue ex maximus dui arcu nunc rhoncus tristique vestibulum, aliquam velit et quis. Amet conubia hendrerit purus tortor sed pellentesque blandit! Cras purus sapien nisl ridiculus non, adipiscing id euismod dignissim feugiat sagittis. Mauris id nec mauris vel iaculis, in convallis maecenas netus ut elementum quisque. Maecenas varius nec tempor magnis lobortis curabitur in quisque pretium sem. Volutpat feugiat phasellus non ornare, sed venenatis sit et aliquet. Magnis quam dis donec, ultrices, in. Posuere lobortis sed nibh sed diam.","B","MEX;UK","opt1"
14,"M",58,"Agree","Strongly Agree","Agree","Often","Sometimes","Cubilia tincidunt pulvinar neque porttitor, enim conubia amet diam. Risus in erat ac integer. Amet potenti, lorem, luctus aptent nostra sed. Sed vitae phasellus bibendum eu vehicula. Lobortis quam eu pulvinar ac dapibus, ultricies habitant sociis, egestas. Nec mattis sapien mi in tincidunt vivamus. Curabitur metus sociis, lacus. Nibh nulla tempor eget pellentesque, habitasse in et vel dolor in sociosqu sit. Nulla pellentesque ut pharetra massa aptent eleifend neque laoreet suspendisse egestas ultrices sagittis. A erat phasellus dolor curabitur.","Tempor maximus volutpat auctor est aliquet id. In fermentum dapibus pharetra, dui, turpis erat euismod tortor maximus sed! Sed quis ipsum at nec ultrices vitae himenaeos et. Eget lacus euismod massa, semper per ex ultricies. Justo, egestas class nibh purus elementum dolor, velit, ac ut, aliquam. Congue tempor rutrum phasellus himenaeos conubia arcu augue, semper at sed sed quis nunc porta eros. At aliquet sed sem penatibus. Platea ligula amet lorem, facilisis nunc.","A","CAN;US","opt2"
15,"F",33,"Neither Agree or Disagree","Strongly Disagree","Strongly Agree","Very Often","Never","Diam finibus ligula quis et massa vehicula molestie ut. Amet at nascetur nostra non ex. Vehicula aptent libero eu dapibus sociis arcu. Sed risus risus lectus sed in nibh risus ad, metus. Nec lacinia. In sed nec eget a, lobortis, eros euismod potenti? Auctor ad nunc nec molestie nisl consectetur et iaculis nunc scelerisque eu metus non. Urna in non tempus nisi laoreet ut risus nulla. Maecenas dolor tristique sit in malesuada lectus donec fermentum. Dolor iaculis, id tellus dolor egestas magna cursus in. Libero ut sodales volutpat non placerat elementum bibendum himenaeos blandit, sagittis. Purus, at varius nibh eget ligula.","Amet, vulputate nulla non ex tellus lacinia. Id nec ultricies ornare ante curabitur, sed tincidunt massa molestie viverra sociosqu! Natoque ullamcorper ante est sed. Aliquam rutrum semper torquent nec pellentesque duis, vel. Ut, convallis varius. Urna pulvinar vel nec consequat, donec. Sociis nec lorem tincidunt, et in, penatibus. Tellus vel, malesuada nunc vehicula adipiscing ipsum, dolor. Sollicitudin sapien, ut, vivamus eget sed eleifend libero. Finibus vel nisl mi tempus faucibus vitae. Ac donec tempor in sapien, nulla odio! Facilisis eu tempus, augue magna condimentum faucibus egestas urna, ut. Est potenti facilisi non, sed imperdiet. Pulvinar sollicitudin scelerisque, imperdiet aenean primis sed phasellus cursus faucibus! Cursus non vel nunc rutrum augue metus nostra. Arcu mollis, erat justo torquent quis taciti vestibulum non.","Neither Agree or Disagree","MEX;CAN;UK","opt1"
16,"M",37,"Agree",NA,"Strongly Disagree","Very Often","Rarely","Metus eu non mollis et in ut, amet magna. Metus et fringilla eu arcu orci varius nulla montes. Ut aliquam nisl aenean vitae nec erat est torquent. Auctor ultricies ac lacinia finibus malesuada aliquam, pharetra phasellus consectetur. Dui penatibus lectus lobortis ultrices ante. Dolor nisl ligula quam elit! Parturient, nec convallis enim et non sit sit. Sem, fermentum, et sem nec penatibus. Dignissim nostra sollicitudin magnis nisi non dolor mattis inceptos sociis laoreet faucibus. Neque amet aliquam ut volutpat.","Non orci efficitur sit, neque, cursus quis leo cum. Tempor volutpat nec at eget turpis mus. Amet, ante, aliquet purus ultrices. Nec ac nascetur. Odio at ornare sed. Ullamcorper vestibulum eu tempus in et egestas dui erat purus. Tortor accumsan cum non mauris vitae ut. Nulla sodales dictum faucibus. Tristique in in tempor eget leo, laoreet, sodales ante cum sem rhoncus. Leo varius eros eros in etiam.","B","MEX","opt4"
17,"M",44,"Neither Agree or Disagree","Strongly Disagree","Strongly Agree","Often","Never","Ut quis maximus eget. Risus sed eu, amet penatibus cras. Ullamcorper ut porttitor eu in morbi. Ac lectus semper non varius. Cursus quam aliquam eu convallis pretium nam sed sed aenean elementum. Tortor ac imperdiet metus vestibulum velit vel. Ut diam, in. Volutpat auctor tortor dignissim mollis suscipit ligula consectetur tempor ac imperdiet. Rutrum porttitor, sociosqu. Justo justo, aliquam, non conubia, leo et torquent ut fusce, curabitur. Ut sed vel posuere ante nascetur nulla, sed nostra mi. Sapien laoreet fermentum sed convallis, lectus facilisis tincidunt primis himenaeos malesuada senectus. Eu porttitor gravida et, turpis in ut neque purus eget augue ipsum ex. At mi, sapien sed aliquet semper, lacus. Sed maecenas scelerisque in sagittis nec nisi conubia augue, pellentesque penatibus aptent quis.","Tincidunt nulla inceptos, sed nec sed arcu non. Venenatis penatibus interdum nam lacinia. Auctor ultrices id, vitae primis ante sed leo at vestibulum mi, eget ligula. Odio eget vestibulum, mauris lobortis ac accumsan nunc non ridiculus dictumst. Sed urna mauris erat ac. Curae quam ut velit quam ac felis cursus! Leo sed, orci maecenas turpis et, eget sem mauris. Ut lacus, justo, volutpat at non sem id ante nunc luctus orci. Class imperdiet molestie diam accumsan.","Neither Agree or Disagree","US;UK;CAN","opt1"
