"id","gender","age","agree1","agree2","agree3","often1","often2","open1","open2","other","multi"
1,"F",43,"Strongly Agree","Strongly Agree","Strongly Disagree","Very Often","Rarely","Lorem ipsum dolor sit amet, tristique nullam semper at porttitor sit ac penatibus. Sapien viverra ut blandit. Sed non tincidunt in amet ut. Et eget nullam porttitor, semper congue eget. In ex purus ligula dui egestas, morbi habitasse magna fermentum augue. Himenaeos tempus, aenean tincidunt ligula, mollis et scelerisque sit, vel phasellus duis duis sit. Risus per nunc, sit nunc interdum diam nisl! Cubilia commodo massa adipiscing neque vel accumsan consectetur. Sed amet, netus dictumst feugiat? Pharetra sodales, tempor nascetur viverra arcu sed odio rhoncus. Dolor consequat diam ac, in neque odio tincidunt ante eget natoque magna eu sed posuere.","Lorem ipsum dolor sit amet, tortor sociis a pellentesque penatibus nulla non nibh. Consectetur odio a porttitor nisi, sociis nullam imperdiet magna elit in. Ut efficitur aptent, rutrum dignissim. Aliquet et ex nulla risus eleifend. Orci orci class taciti massa semper mollis consectetur sed curabitur. Egestas, taciti et lobortis et tempor, phasellus nunc. Dui sapien at, nibh. Vel in dolor eros pretium magna gravida, nibh viverra. Consectetur ipsum et fames arcu. Sit porta commodo, imperdiet lectus turpis.","Agree",""
2,"M",56,"Strongly Disagree",NA,"Disagree","Rarely","Sometimes","Nullam interdum consequat in odio nulla commodo ut. Sed accumsan, non ac mauris bibendum. Tincidunt bibendum conubia erat sociis vestibulum maximus. Ac blandit feugiat, dis nibh in magna non finibus. Integer massa posuere sed consequat urna vestibulum lectus, varius. Commodo felis, orci dictum ac. Volutpat, turpis conubia curae integer malesuada magna odio et. Libero scelerisque sed pretium, a class semper non vitae. Vivamus ultricies sociosqu lobortis eget risus elementum malesuada felis vitae. Euismod sagittis conubia metus curabitur quisque justo fames, non donec auctor. Dolor sed leo mus tempor.","Sit efficitur, sit, vestibulum vitae ut nibh nullam dui est natoque. Imperdiet nunc at cras amet egestas auctor at. Senectus sed nec magna donec ante, leo non volutpat. Vehicula curae in suscipit ut sem nulla in tincidunt. Dolor cum tristique tempor justo sed dictum. Enim non magna turpis. Sed, arcu adipiscing ultrices. Ullamcorper mauris ut in sit eget id. Ac blandit, cum morbi aliquam malesuada sed ut ac eu lectus.","Strongly Disagree","CAN;UK;MEX"
3,"M",43,"Neither Agree or Disagree",NA,"Neither Agree or Disagree","Rarely","Very Often","Nunc vitae ac, vestibulum ullamcorper et. Convallis ipsum eu sit. Eleifend gravida. Gravida eros, ac posuere habitasse mauris iaculis. Nec neque blandit hac, turpis eu sed. Arcu himenaeos malesuada. Magna aenean ac consequat nec amet porta. Est, ut a vestibulum integer turpis a. Per dolor nulla massa quam, libero. Odio vestibulum lorem odio. Porttitor, ipsum amet netus suspendisse sed dictumst ipsum. Magna, libero class, sociis quam. Enim sit ante, pharetra felis accumsan phasellus ut himenaeos in.","Sed at in erat tincidunt, sapien ultricies aliquam natoque eu. Pretium morbi et mauris justo proin purus euismod. Sit velit praesent sit nisi a nullam tincidunt nec. Sit vehicula proin enim aliquet, consectetur ad metus et praesent duis duis duis! Ante, diam sed accumsan quis venenatis, quis faucibus eu. Auctor, ut vestibulum pellentesque non in neque sit id massa, sem. Nisi netus nam convallis egestas fringilla pellentesque ac nunc diam interdum, sed ut. In vulputate orci odio quisque elementum vitae. Vehicula, consequat porttitor nulla porta etiam feugiat? Sodales urna ad eget sociis natoque in. Orci et fringilla leo. Lorem, leo ac donec amet et eu tempus congue sed tortor massa. Sed hendrerit vulputate, et maximus sapien curabitur, felis sollicitudin in ac ex.","Strongly Agree","UK;US;CAN"
4,"M",50,"Disagree","Strongly Agree","Agree","Very Often","Sometimes","Sed tellus, dapibus, eu nulla ultrices. Sed ante in nunc non, varius habitasse. Nunc non mauris, ac. Sapien, urna pellentesque nulla interdum gravida, cras pellentesque interdum, at, at. Odio integer eu justo ac vel. Ac proin, gravida quam mauris lectus velit ornare leo semper. Dapibus suspendisse sed integer ultricies lorem rhoncus malesuada fringilla sed. Nullam mollis cursus, mus, in eu, blandit velit pulvinar dictum nisi. Litora, sem facilisi, in sit, tempus eget non est. Nisi sit sagittis in sit non. Tristique tempor, ornare posuere rhoncus turpis faucibus mauris hendrerit.","Velit sed elit nunc non, eu. Nisl quis mauris aenean, hendrerit ut. Ut sagittis sapien orci donec vulputate ligula justo malesuada. Sociosqu nam eros eleifend tellus congue elementum, pellentesque quis. Condimentum semper montes nam in pharetra. Senectus mattis gravida ligula diam aenean sit vulputate, enim vestibulum. Litora, sed non et sed. Ex pellentesque feugiat sed ad posuere donec. Viverra non rutrum euismod convallis per nostra sagittis ut erat. Sed eleifend quam dolor luctus turpis vitae donec quisque at et vel. Lacus vivamus venenatis sed suspendisse viverra et suspendisse mauris in purus. Lectus risus habitant efficitur phasellus metus finibus duis.","Strongly Agree","US"
5,"F",29,"Disagree","Disagree","Agree","Rarely","Often","Ex in lacus neque mi nulla fringilla tempus tempor lectus. Primis taciti ridiculus et leo parturient dapibus nascetur diam. In pharetra diam tincidunt egestas sollicitudin eros. In in orci mollis lectus diam ac aliquam hendrerit. Sed molestie pharetra sapien fusce vel, est habitant. Ac imperdiet varius mollis leo nunc risus. Vestibulum sagittis et, nisi eleifend hac dui. Litora faucibus libero quam, montes ultricies convallis enim, quis nisl. Vitae a, faucibus ligula nunc.","Tincidunt dapibus, ante nisl a ante. Lectus ligula sociis nunc dui vitae hendrerit bibendum. Porttitor, et tristique malesuada. Et lectus sed integer. Placerat ante, pulvinar sagittis. Facilisi nisl non sed, quisque ullamcorper pharetra fermentum volutpat ut etiam euismod curae risus. Sed turpis phasellus commodo quam faucibus tincidunt. Facilisi donec eros suscipit nisl mauris.","A","CAN;MEX;US"
6,"F",62,"Agree","Disagree","Strongly Disagree","Very Often","Often","Vel lacus, facilisi sed bibendum convallis quis ornare augue fringilla urna, in. Potenti sem sapien mus nisl pellentesque penatibus arcu. Est tortor non sociosqu vitae aliquam a et, euismod. Sagittis aliquam venenatis scelerisque. Pellentesque aliquet platea, sed egestas conubia amet. Enim egestas nec sed eu iaculis in nibh a nec metus turpis libero vel. Et imperdiet ipsum suscipit amet adipiscing et, ultricies accumsan porttitor sed nascetur. Suspendisse convallis porta nostra, ante in montes, sed. Justo commodo, eu vel faucibus velit aliquam sed primis. Interdum at volutpat justo morbi lacus, neque integer nibh scelerisque hac. Mauris porttitor ante semper dignissim et himenaeos, finibus non.","Ultricies vitae varius ut mollis dictumst. Id, leo, metus dolor egestas nec feugiat cum. Diam vestibulum nunc montes eu eget scelerisque ad. Fringilla maximus vitae volutpat maximus quis duis mollis aenean vulputate taciti! Molestie pharetra dis libero, pretium massa porta, in. Placerat purus, erat mauris dolor nascetur vitae vitae. Imperdiet tellus tristique ac class tincidunt massa laoreet sit molestie eleifend sollicitudin libero. Vestibulum imperdiet eros est magna et sed et cubilia. Gravida non velit suspendisse.","A","MEX;UK;US"
7,"M",30,"Strongly Disagree","Agree","Strongly Agree","Often","Rarely","Mus nec ut vitae magna sollicitudin per elit nulla quis ad. Eu est nullam fringilla neque primis velit etiam. Rhoncus ullamcorper, dapibus vel nam et magna. Urna sapien, aliquam in, nisl augue, quis tortor ut ligula maecenas sit. In ullamcorper donec sed tristique justo hac tincidunt. Mauris eu egestas morbi eu rutrum nulla, dignissim. Nam, euismod mattis id primis laoreet urna lacus non. Pharetra luctus gravida, vel nulla non accumsan. Sem at nostra.","Habitant sit orci sit elementum, lorem semper sagittis nisi ut dapibus lacus nisl. Libero pharetra dictumst rutrum risus. Purus a rutrum torquent eu a cras ante metus ac. Torquent mauris, ac in augue, tortor amet auctor lacinia. Tempor interdum sociis non augue. Leo, leo velit finibus vulputate netus eleifend pharetra purus iaculis. Eu scelerisque primis tortor et. Nulla ac, dictumst, ut eu, viverra odio. Viverra iaculis viverra nisl in, nulla. Scelerisque libero, amet vivamus lorem magnis pulvinar, lorem. Egestas odio lacus lectus non aenean quam, nunc ut.","Strongly Disagree",""
8,"M",60,"Strongly Agree","Agree","Neither Agree or Disagree","Never","Sometimes","Sed conubia in senectus lacus, vehicula. Accumsan penatibus magna, lorem phasellus interdum ut libero. Justo est lorem porttitor amet suscipit. Sem himenaeos himenaeos vitae sed in felis sem ligula lacus integer nullam. Fringilla integer taciti hendrerit vitae ullamcorper sed sed eu, erat cum. Potenti dolor. Enim ultricies senectus sociosqu libero himenaeos scelerisque. Hac, vestibulum, in malesuada praesent maecenas, leo. Nunc enim sit netus purus nisl volutpat.","Tempus rhoncus vestibulum viverra nibh egestas, elit nisl eget. Tristique adipiscing id a ligula phasellus. A, sed metus efficitur ligula ac. Platea, sit, aliquet dictumst. Blandit dapibus risus sed nisl mauris faucibus dignissim proin. Eget sit pretium sit varius, suspendisse sed cursus ut. Sapien conubia, suscipit fermentum feugiat magnis vel. Elit a neque quis sed odio sit enim. Erat euismod commodo nec ultricies tortor. In vestibulum, non, proin conubia lectus erat ad vehicula cursus. Nisl tempor lectus pharetra pellentesque dapibus sem nulla.","Disagree","MEX;CAN;US"
9,"F",37,"Strongly Disagree",NA,"Disagree","Sometimes","Often","Habitasse egestas tincidunt, penatibus sociosqu erat aliquet, sapien sed turpis. Eros accumsan nec, eros malesuada tristique id, nam egestas ex eu. Nisl non dictum nec nostra ac. Et mollis. Justo augue per dui posuere tempor. Eu ut, sapien class sed. Nibh per augue himenaeos dui curae fringilla. Enim turpis, varius, laoreet. Lacus dictum nisi urna at sit blandit vestibulum.","Purus primis ullamcorper. Neque sed, interdum. Lectus mauris maximus in ac dapibus ut est, tincidunt turpis. Dui efficitur egestas sapien mollis accumsan eros, placerat arcu vestibulum, morbi. Ac nunc. Penatibus consectetur pellentesque tellus eleifend dignissim blandit turpis, lorem. Porttitor condimentum ipsum cum velit tortor, ad. Facilisi ut velit, scelerisque maximus sociosqu libero, tincidunt lorem ex.","A",""
10,"M",55,"Strongly Disagree",NA,"Neither Agree or Disagree","Sometimes","Often","Posuere ante amet, nec volutpat neque potenti suspendisse urna nullam et est. Eu lacus cursus mauris eget sit eget. Nisi augue ac orci rhoncus a ipsum. Habitant auctor ac ligula in nulla egestas molestie cras turpis aptent. Volutpat erat est aliquam, erat facilisi efficitur lacus. Ligula sed proin curae scelerisque. Aenean cras nibh ac. Sed urna nunc phasellus sed eu. Cursus aliquam dolor, habitasse netus, fermentum in in integer leo. Vel, aliquam dolor lacus. Imperdiet feugiat in phasellus id. A fusce ut torquent gravida mauris, sed ut donec massa purus, cursus.","Malesuada suscipit non erat dolor vel, eu. Hac ac sed duis eget in, arcu sit aliquam vel auctor est ut duis. Torquent purus maximus risus nunc litora ante. In, ex egestas ac diam. Neque donec sapien mauris ipsum mauris. Non donec non vitae integer amet sed? Senectus eros aenean maximus nec blandit sed, montes iaculis enim sed. Vulputate facilisi, nunc cursus in, posuere class lorem in ex id turpis. Pretium molestie dolor dapibus, gravida sed ipsum sed ultricies. Mi maecenas cursus et, cras malesuada donec. Pulvinar sed neque aliquet dolor tempus vitae porttitor lacus donec.","Disagree","MEX;UK;US"
11,"M",35,"Strongly Agree","Neither Agree or Disagree","Strongly Agree","Rarely","Never","Sapien enim suspendisse. Hac mus dis ac cum hendrerit consectetur amet. Aliquet iaculis netus ornare aenean ullamcorper class tempus, varius. Sit elementum ac orci gravida ligula. Mollis sit quam sed sit. Dapibus dictumst pellentesque, mollis in sit augue porttitor. Ut lorem taciti sit finibus pretium cras. Sed ultricies, mollis et hendrerit class purus a eros. Commodo tempor ac non malesuada mi cursus. Adipiscing dictum eleifend porttitor nibh ultrices. Pellentesque metus diam dui consectetur, molestie vel suscipit risus consequat. Nec est natoque habitasse. Duis natoque nisl, accumsan senectus pulvinar non.","Dolor cubilia mauris quam ligula egestas purus facilisis nibh sapien in bibendum mauris sit vivamus. Efficitur metus id, sed cras, enim nisi. Nullam tortor nec vestibulum sit litora. Penatibus tincidunt odio nisl vestibulum platea nostra, dignissim. Taciti, duis orci luctus non sollicitudin sed dolor vestibulum. Faucibus semper non vivamus potenti, faucibus diam. Molestie condimentum ut nec ridiculus. Tincidunt sed viverra montes eu magna purus ac elementum faucibus ac a, faucibus ipsum. Imperdiet duis sem, felis eu non tristique amet, eget at ac phasellus dictum faucibus. Ipsum gravida pulvinar suspendisse nostra libero imperdiet, maximus sapien, efficitur luctus quisque.","B",""
12,"F",23,"Neither Agree or Disagree","Disagree","Disagree","Never","Never","Facilisis vitae quam euismod, sem curabitur amet ac. Pellentesque tellus fermentum erat in est sit. Curabitur non ac quam quis? Egestas habitant at sed enim ac. Montes ridiculus duis lobortis nunc dui curae metus, orci. Mauris et et vehicula nisl, pharetra cras cubilia. Finibus potenti ac, ipsum suscipit quam praesent. Accumsan porttitor quisque, diam ad nulla sed diam odio aliquam leo. Justo, semper arcu proin eget dignissim nunc tempor lacinia. Mauris nunc integer sem in, aliquam pellentesque arcu.","Suspendisse tincidunt tempor cum aenean auctor torquent id vehicula sociis sed! Enim ut taciti nunc augue faucibus justo eu. Cum fringilla ullamcorper dapibus sapien, lacus. Lorem dapibus velit magnis sociosqu praesent, libero iaculis sociosqu. Hac scelerisque ipsum vel? Condimentum volutpat eu rutrum ut est felis. In ac duis ligula urna porttitor turpis, ut leo. Tempor urna cras enim inceptos vel aliquam non aliquet ultrices. Potenti, vel egestas, eget ac eros congue, integer dictum elit efficitur.","Strongly Disagree","MEX;UK"
13,"M",28,"Neither Agree or Disagree","Agree","Agree","Sometimes","Sometimes","Cum, faucibus nibh dictum pellentesque nunc laoreet, ante eget. Tellus, etiam aenean maximus himenaeos ac. Urna dapibus mauris eget rhoncus turpis, tincidunt. Elit nisl maximus etiam at ultrices. Platea augue a vulputate porttitor duis neque quam massa. Arcu ut vel, dis. Velit natoque fusce ornare tincidunt facilisis congue adipiscing eu eros consequat. Senectus sed donec condimentum lorem sagittis nec.","Per nisi dictum tortor. Vel tortor nisi pretium, nulla. Eros fusce in hac. Class augue nunc eu imperdiet curabitur natoque, hendrerit varius quis! Libero non eu elit amet vivamus. Himenaeos sed magna convallis vel. Sociosqu adipiscing pharetra egestas commodo netus justo massa dapibus fames eget rhoncus feugiat. Nunc class in vel inceptos platea. Finibus proin, in porta nam sit. Cursus accumsan nulla ut, metus varius quisque vehicula mattis vivamus mi vel pellentesque sapien. Convallis velit at rutrum mattis leo, elit sed primis per sit.","Neither Agree or Disagree","UK"
14,"F",59,"Neither Agree or Disagree","Disagree","Agree","Very Often","Very Often","Massa non in quis. Diam, quisque id. Condimentum, quis quis metus senectus suscipit nostra erat. Nulla quisque, duis in suscipit, purus rutrum. Nam ex bibendum ac imperdiet lacus, aptent lacus vel, arcu ac malesuada. Varius egestas nec. Nulla et. Dui fringilla per interdum velit lobortis euismod urna litora elit pretium. Eu libero curabitur eget neque tortor tempus sociis vivamus dis dis. Ac taciti pharetra ac eros mattis ac lacus feugiat penatibus. Inceptos hac facilisi ornare, non sed, ac cursus gravida vehicula.","Nisl erat cursus ridiculus egestas rutrum malesuada vitae, suspendisse. Mus tempus id luctus, vel tortor in eu. Curabitur taciti volutpat ut platea suspendisse nec. Bibendum in scelerisque arcu quam lorem rhoncus fusce justo arcu justo. Amet sollicitudin at a nec. Sed vel justo quam rhoncus vulputate. Sociosqu nibh suspendisse velit duis amet, nullam. Porttitor habitasse fermentum donec neque. Tempor fusce. Nunc, dolor mauris, et, metus et ad platea.","B","MEX;UK"
15,"M",38,"Disagree","Strongly Disagree","Disagree","Sometimes","Often","Nulla sit, ut rhoncus ut, primis leo quisque. Maecenas mollis dignissim a libero amet. Dui imperdiet integer, eget molestie posuere, nec. Eget in pellentesque, maecenas pulvinar, quis placerat sit, mauris finibus. Natoque quam sed ut ullamcorper suscipit metus quis erat, quam et lacus vitae sit? Donec sed sed ornare vestibulum, sed eget himenaeos. Sem sollicitudin auctor, porttitor rhoncus dictumst morbi hendrerit sollicitudin luctus turpis. Morbi urna vivamus at feugiat vitae augue. Interdum proin laoreet eget varius venenatis ultricies a eleifend.","Urna, arcu ut malesuada tortor in, pretium sollicitudin pharetra. Ex lacus viverra et ornare eu in. Eleifend blandit maecenas proin viverra sed maecenas ullamcorper magna semper proin accumsan et sollicitudin. Tempor in augue eget aliquet. Ligula donec, mi feugiat leo. Mollis habitant hendrerit, ut duis per, metus, potenti suscipit amet sit quam. Ornare ante ut urna nunc, nec feugiat. Iaculis praesent vel sed posuere parturient ligula phasellus elit elementum. In sed pretium platea mi augue, vehicula et.","Agree",""
16,"M",46,"Strongly Agree","Agree","Strongly Disagree","Never","Sometimes","Lorem justo tortor tellus litora nunc torquent. Tempor pellentesque. Porttitor sed nostra, mauris enim nisl molestie convallis penatibus dignissim nibh, eros. Lectus dui, tincidunt non phasellus. Est finibus orci sed ligula in tempor in non. Pellentesque diam vulputate nulla ac in porta. Sed magnis amet, aptent hac duis sit malesuada vitae, vestibulum, sed sem dapibus posuere? Erat placerat luctus laoreet dis! Sed est pharetra enim, ex amet dui. Ad amet elit nascetur neque odio nulla mauris proin vestibulum. Vestibulum fermentum nec fames sit.","Ullamcorper eu, vel primis ipsum sed auctor ut condimentum est. Auctor maximus ultrices felis lacus, nisl. Fringilla placerat vel eget justo consequat. Nunc risus sed donec commodo vitae facilisis sit, porttitor metus. Hendrerit pulvinar diam efficitur ut ac. In sapien velit ut eu pharetra finibus sed taciti. Tristique rhoncus viverra dapibus est penatibus non natoque amet tincidunt magna. Mollis nulla sit purus volutpat, montes. Montes cursus nunc augue laoreet consequat finibus. In, ex elit aliquam, non, eros tellus, lacus sollicitudin quisque, porttitor.","Disagree","US"
17,"M",39,"Strongly Disagree",NA,"Disagree","Often","Sometimes","Nostra potenti ut non arcu suspendisse non sem primis. Ut ligula et efficitur porttitor risus vehicula turpis eu. Ullamcorper donec in ut potenti, ac ac ut. Turpis molestie ultrices tortor, sed interdum, nec. Sed in egestas nascetur nisi sed dui in eu. Eros varius mollis eu id odio ullamcorper ridiculus vulputate blandit. Sapien vitae ac ut vitae, accumsan magnis vehicula donec viverra odio.","Vel, dolor gravida purus nostra, purus nullam blandit inceptos. Risus sed hendrerit aenean nam magna. Tristique eu amet vitae. Hendrerit nibh vel. Nascetur eu mauris lorem ac nulla convallis orci pellentesque. Mauris risus nec scelerisque maecenas faucibus ut sed vel dolor in ut eros. Magna curabitur dui id mauris tincidunt nam primis. Sed sed nulla congue est phasellus justo a efficitur.","Agree","US;UK;MEX"
